domain,label,article_count,pred_hyper_count,percentage_hyper,avg_confidence,avg_sentiment
eagletribune.com,0,39,5,12.82051282051282,0.3474358974358974,0.874720512820513
thenation.com,1,39,22,56.41025641025641,0.5093162393162393,0.9174846153846156
teapartytribune.com,1,18,13,72.22222222222221,0.5318518518518518,0.9470888888888889
sovereignman.com,1,14,4,28.57142857142857,0.3823809523809524,0.7171000000000001
conservativedailypost.com,1,19,9,47.368421052631575,0.47438596491228074,0.9206263157894735
factbox.tv,0,82,13,15.853658536585366,0.3779674796747967,0.8128219512195122
commondreams.org,1,31,13,41.935483870967744,0.47494623655913976,0.9349387096774192
allenbwest.com,1,18,5,27.77777777777778,0.47648148148148145,0.8712666666666665
dailysignal.com,1,19,7,36.84210526315789,0.44491228070175437,0.8586736842105263
excaliburnews.com,1,14,4,28.57142857142857,0.41357142857142853,0.8953928571428573
deneenborelli.com,1,19,0,0.0,0.3036842105263158,0.7618105263157896
theblaze.com,1,13,3,23.076923076923077,0.3764102564102564,0.7667076923076923
tomdispatch.com,1,14,14,100.0,0.6728571428571428,0.9956642857142858
bluedotdaily.com,1,9,2,22.22222222222222,0.4451851851851852,0.8893333333333335
truthandaction.org,1,19,1,5.263157894736842,0.33333333333333326,0.6744526315789474
thenewsdoctors.com,1,15,8,53.333333333333336,0.47333333333333333,0.79672
gopthedailydose.com,1,5,0,0.0,0.352,0.7689199999999999
mrctv.org,1,15,2,13.333333333333334,0.37399999999999994,0.7989666666666666
nj.com,0,13,4,30.76923076923077,0.47435897435897434,0.7948461538461539
hotair.com,1,21,12,57.14285714285714,0.5306349206349207,0.8616666666666668
reviveusa.com,1,10,0,0.0,0.32566666666666666,0.86112
sonsoflibertymedia.com,1,19,12,63.1578947368421,0.5208771929824562,0.8507684210526314
controversialtimes.com,1,16,1,6.25,0.27749999999999997,0.896625
godfatherpolitics.com,1,17,11,64.70588235294117,0.5162745098039215,0.8841117647058824
politicaloutcast.com,1,20,4,20.0,0.45566666666666666,0.9022350000000001
lidblog.com,1,33,24,72.72727272727273,0.554949494949495,0.9160090909090909
activistpost.com,1,210,46,21.904761904761905,0.3915079365079365,0.840538571428571
americanconservativeherald.com,1,19,7,36.84210526315789,0.4757894736842105,0.9015842105263158
dcstatesman.com,1,7,2,28.57142857142857,0.40190476190476193,0.741157142857143
joeforamerica.com,1,18,5,27.77777777777778,0.44925925925925925,0.9028722222222222
conservative101.com,1,9,1,11.11111111111111,0.3925925925925926,0.8057666666666665
freedomoutpost.com,1,17,7,41.17647058823529,0.4674509803921568,0.9324470588235294
alexanderhiggins.com,1,69,22,31.88405797101449,0.43473429951690823,0.8990507246376814
commentarymagazine.com,1,21,11,52.38095238095239,0.5188888888888888,0.891542857142857
conservativeworlddaily.com,1,14,0,0.0,0.3607142857142857,0.8347642857142856
offthewire.com,1,17,10,58.82352941176471,0.5164705882352941,0.9659764705882354
fixthisnation.com,1,20,14,70.0,0.5409999999999999,0.8693349999999999
usdefensewatch.com,1,18,5,27.77777777777778,0.385,0.8809222222222224
bookwormroom.com,1,18,14,77.77777777777779,0.5687037037037037,0.9308888888888889
citizensfortrump.com,1,11,2,18.181818181818183,0.3948484848484849,0.7424
theblacksphere.net,1,15,10,66.66666666666666,0.5564444444444444,0.9170333333333333
faithfamilyamerica.com,1,10,2,20.0,0.3776666666666667,0.8297399999999999
politicalsitenews.com,1,13,2,15.384615384615385,0.4041025641025641,0.9083923076923077
totalconservative.com,1,15,7,46.666666666666664,0.4784444444444445,0.9399333333333332
counterinformation.wordpress.com,1,7,0,0.0,0.3338095238095238,0.9661714285714286
sharpelbowsstl.blogspot.com,1,11,4,36.36363636363637,0.42606060606060603,0.48708181818181817
jamieglazov.com,1,7,0,0.0,0.30476190476190473,0.9014857142857142
conservativeintel.com,1,15,0,0.0,0.33488888888888885,0.7591333333333333
patriotnewsdaily.com,1,20,9,45.0,0.48916666666666664,0.834935
libertyunyielding.com,1,17,3,17.647058823529413,0.40509803921568627,0.6803117647058824
ijr.com,1,16,1,6.25,0.34395833333333337,0.72504375
dcgazette.com,1,14,5,35.714285714285715,0.47309523809523807,0.9385500000000001
clashdaily.com,1,15,5,33.33333333333333,0.4068888888888889,0.7678733333333334
conservativetribune.com,1,15,1,6.666666666666667,0.42444444444444446,0.9366733333333331
bloodyrubbish.com,1,7,4,57.14285714285714,0.5314285714285715,0.9245428571428571
cnsnews.com,1,9,3,33.33333333333333,0.4337037037037037,0.8322555555555555
dailycaller.com,1,18,4,22.22222222222222,0.40666666666666673,0.8091833333333335
usatwentyfour.com,1,11,2,18.181818181818183,0.3918181818181818,0.7423727272727273
news.groopspeak.com,1,7,0,0.0,0.41190476190476183,0.6498428571428573
libertytalk.fm,1,10,5,50.0,0.4833333333333334,0.88634
ih8hillary.com,1,8,2,25.0,0.39375,0.8500124999999998
rebelpundit.com,1,2,1,50.0,0.52,0.9762
patribotics.blog,1,2,0,0.0,0.2366666666666667,0.5307999999999999
conservativereview.com,1,13,8,61.53846153846154,0.5292307692307692,0.937153846153846
rightforever.com,1,2,0,0.0,0.375,0.94295
therepublicannews.net,1,4,0,0.0,0.36,0.978875
greatamericandaily.com,1,3,0,0.0,0.41333333333333333,0.9725999999999999
knoxreport.com,1,2,1,50.0,0.38333333333333336,0.6926
unhyphenatedamerica.org,1,1,0,0.0,0.27,0.8777
usanewspolitics.com,1,4,0,0.0,0.35833333333333334,0.87415
craigjames.com,1,2,0,0.0,0.32999999999999996,0.55785
dailyherald.news,1,1,1,100.0,0.5166666666666667,0.9171
readconservatives.news,1,2,1,50.0,0.4666666666666667,0.9914000000000001
