Model,Setup,Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,AUC
Naive Bayes,CountVectorizer + ROS,0.729,0.729,0.614,0.729,0.667,0.768
Logistic Regression,TF-IDF + Balanced,0.775,0.783,0.661,0.812,0.729,0.882
XGBoost,TF-IDF + Style + ROS,0.791,0.774,0.723,0.708,0.716,0.832
Random Forest,TF-IDF + Style + ROS,0.791,0.757,0.769,0.625,0.69,0.822
